county,code
Albany,1
Allegany,3
Bronx,5
Broome,7
Cattaraugus,9
Cayuga,11
Chautauqua,13
Chemung,15
Chenango,17
Clinton,19
Columbia,21
Cortland,23
Delaware,25
Dutchess,27
Erie,29
Essex,31
Franklin,33
Fulton,35
Genesee,37
Greene,39
Hamilton,41
Herkimer,43
Jefferson,45
Kings,47
Lewis,49
Livingston,51
Madison,53
Monroe,55
Montgomery,57
Nassau,59
New York,61
Niagara,63
Oneida,65
Onondaga,67
Ontario,69
Orange,71
Orleans,73
Oswego,75
Otsego,77
Putnam,79
Queens,81
Rensselaer,83
Richmond,85
Rockland,87
St. Lawrence,89
Saratoga,91
Schenectady,93
Schoharie,95
Schuyler,97
Seneca,99
Steuben,101
Suffolk,103
Sullivan,105
Tioga,107
Tompkins,109
Ulster,111
Warren,113
Washington,115
Wayne,117
Westchester,119
Wyoming,121
Yates,123
