,DENSITY,GEO_ID,POP,county,Poverty_Rate
0,49.852132934,36095,30999,Schoharie,11.8
1,107.74438361,36035,53383,Fulton,13.0
2,243.25640923,36083,158714,Rensselaer,11.1
3,30.703152587,36033,50022,Franklin,16.7
4,73.636188916,36115,61204,Washington,11.4
5,110.72575473,36011,76576,Cayuga,13.0
6,1878.3505416,36087,325789,Rockland,13.9
7,400.65064847,36063,209281,Niagara,13.0
8,20.55884778,36031,36885,Essex,11.7
9,4767.2768183,36059,1356924,Nassau,5.8
10,54.232858875,36097,17807,Schuyler,13.5
11,52.828329489,36017,47207,Chenango,15.1
12,86.571938376,36045,109834,Jefferson,12.3
13,1619.4232899,36103,1476601,Suffolk,7.3
14,67.244018547,36121,39859,Wyoming,9.9
15,123.07519405,36075,117124,Oswego,16.1
16,148.91272452,36117,89918,Wayne,9.6
17,269.88239734,36007,190488,Broome,17.3
18,881.05768715,36029,918702,Erie,13.7
19,77.914576302,36105,75432,Sullivan,16.2
20,473.88006089,36071,384940,Orange,11.5
21,591.64396863,36067,460528,Onondaga,13.7
22,77.556663383,36019,80485,Clinton,13.2
23,105.08188284,36099,34016,Seneca,12.6
24,426.87222133,36079,98320,Putnam,6.0
25,43.441185009,36043,61319,Herkimer,13.5
26,170.44802449,36069,109777,Ontario,8.5
27,68.590607713,36101,95379,Steuben,12.8
28,2.5713611478,36041,4416,Hamilton,9.1
29,119.69102866,36013,126903,Chautauqua,18.3
30,92.9464711,36107,48203,Tioga,10.2
31,103.132638,36073,40352,Orleans,12.6
32,283.78298772,36091,229863,Saratoga,6.3
33,93.689022044,36021,59461,Columbia,11.7
34,20.6301086,36049,26296,Lewis,12.2
35,2246.9377106,36119,967506,Westchester,8.3
36,30.597824625,36025,44135,Delaware,15.9
37,122.10117072,36057,49221,Montgomery,15.8
38,40.208969052,36089,107740,St. Lawrence,15.1
39,215.27841332,36109,102180,Tompkins,16.8
40,73.734692899,36113,63944,Warren,10.8
41,95.396124759,36023,47581,Cortland,16.9
42,369.78375908,36027,294218,Dutchess,9.2
43,204.87412967,36015,83456,Chemung,13.5
44,1129.2528105,36055,741770,Monroe,14.4
45,188.62097719,36065,228671,Oneida,14.8
46,157.94992078,36111,177573,Ulster,14.3
47,99.585045201,36051,62914,Livingston,12.5
48,59.389832161,36077,59493,Otsego,12.5
49,72.915339799,36039,47188,Greene,13.0
50,584.33256541,36001,305506,Albany,11.3
51,44.77637219,36003,46091,Allegany,17.0
52,58.181057809,36009,76117,Cattaraugus,17.1
53,108.33200053,36053,70941,Madison,10.8
54,759.10726707,36093,155299,Schenectady,11.3
55,116.20104734,36037,57280,Genesee,9.9
56,73.674655804,36123,24913,Yates,12.7
